1001,0,0,72,72,74
1002,1,1,69,90,88
1003,2,0,90,95,93
1004,3,0,47,57,44
1005,1,0,76,78,75
1006,3,0,71,83,78
1007,1,1,88,95,92
1008,1,0,40,43,39
1009,4,1,64,64,67
1010,4,0,38,60,50
1011,3,0,58,54,52
1012,3,0,40,52,43
1013,4,0,65,81,73
1014,1,1,78,72,70
1015,2,0,50,53,58
1016,5,0,69,75,78
1017,4,0,88,89,86
1018,5,0,18,32,28
1019,2,1,46,42,46
1020,3,0,54,58,61
1021,4,0,66,69,63
1022,1,1,65,75,70
1023,1,0,44,54,53
1024,5,0,69,73,73
1025,0,1,74,71,80
1026,2,0,73,74,72
1027,1,0,69,54,55
1028,0,0,67,69,75
1029,4,0,70,70,65
1030,2,0,62,70,75
1031,1,0,69,74,74
1032,1,0,63,65,61
1033,2,0,56,72,65
1034,1,0,40,42,38
1035,1,0,97,87,82
1036,3,1,81,81,79
1037,3,0,74,81,83
1038,5,0,50,64,59
1039,3,1,75,90,88
1040,3,0,57,56,57
1041,3,0,55,61,54
1042,3,0,58,73,68
1043,3,0,53,58,65
1044,1,1,59,65,66
1045,3,0,50,56,54
1046,3,0,65,54,57
1047,3,1,55,65,62
1048,4,0,66,71,76
1049,3,1,57,74,76
1050,4,1,82,84,82
1051,1,0,53,55,48
1052,3,1,77,69,68
1053,1,0,53,44,42
1054,4,0,88,78,75
1055,5,1,71,84,87
1056,4,0,33,41,43
1057,3,1,82,85,86
1058,3,0,52,55,49
1059,1,1,58,59,58
1060,5,0,0,17,10
1061,0,1,79,74,72
1062,5,0,39,39,34
1063,3,0,62,61,55
1064,3,0,69,80,71
1065,5,0,59,58,59
1066,5,0,67,64,61
1067,5,0,45,37,37
1068,1,0,60,72,74
1069,3,0,61,58,56
1070,3,0,39,64,57
1071,1,1,58,63,73
1072,1,1,63,55,63
1073,3,0,41,51,48
1074,5,0,61,57,56
1075,5,0,49,49,41
1076,3,0,44,41,38
1077,5,0,30,26,22
1078,0,1,80,78,81
1079,5,1,61,74,72
1080,2,0,62,68,68
1081,3,0,47,49,50
1082,4,0,49,45,45
1083,1,1,50,47,54
1084,3,0,72,64,63
1085,4,0,42,39,34
1086,1,0,73,80,82
1087,1,0,76,83,88
1088,3,0,71,71,74
1089,1,0,58,70,67
1090,5,0,73,86,82
1091,0,0,65,72,74
1092,4,0,27,34,36
1093,4,0,71,79,71
1094,3,1,43,45,50
1095,1,0,79,86,92
1096,3,1,78,81,82
1097,5,1,65,66,62
1098,1,1,63,72,70
1099,1,0,58,67,62
1100,0,0,65,67,62
1101,1,0,79,67,67
1102,0,1,68,74,74
1103,3,0,85,91,89
1104,4,1,60,44,47
1105,1,1,98,86,90
1106,1,0,58,67,72
1107,2,0,87,100,100
1108,3,1,66,63,64
1109,3,0,52,76,70
1110,5,0,70,64,72
1111,3,1,77,89,98
1112,4,0,62,55,49
1113,3,0,54,53,47
1114,1,0,51,58,54
1115,0,1,99,100,100
1116,4,0,84,77,74
1117,0,0,75,85,82
1118,0,0,78,82,79
1119,5,0,51,63,61
1120,1,0,55,69,65
1121,0,1,79,92,89
1122,3,1,91,89,92
1123,1,1,88,93,93
1124,4,0,63,57,56
1125,1,0,83,80,73
1126,4,0,87,95,86
1127,5,0,72,68,67
1128,1,1,65,77,74
1129,2,0,82,82,74
1130,0,0,51,49,51
1131,2,0,89,84,82
1132,5,1,53,37,40
1133,1,1,87,74,70
1134,1,1,75,81,84
1135,0,1,74,79,75
1136,0,0,58,55,48
1137,5,1,51,54,41
1138,4,0,70,55,56
1139,3,0,59,66,67
1140,1,1,71,61,69
1141,5,0,76,72,71
1142,1,0,59,62,64
1143,1,1,42,55,54
1144,4,0,57,43,47
1145,1,0,88,73,78
1146,1,0,22,39,33
1147,5,0,88,84,75
1148,3,0,73,68,66
1149,0,1,68,75,81
1150,3,1,100,100,93
1151,5,1,62,67,69
1152,0,0,77,67,68
1153,3,1,59,70,66
1154,0,0,54,49,47
1155,5,0,62,67,61
1156,1,1,70,89,88
1157,4,1,66,74,78
1158,1,0,60,60,60
1159,3,1,61,86,87
1160,3,0,66,62,64
1161,3,1,82,78,74
1162,1,1,75,88,85
1163,2,0,49,53,52
1164,4,0,52,53,49
1165,2,0,81,92,91
1166,0,1,96,100,100
1167,4,1,53,51,51
1168,2,1,58,76,78
1169,4,1,68,83,78
1170,1,1,67,75,70
1171,4,1,72,73,74
1172,5,0,94,88,78
1173,1,0,79,86,81
1174,3,0,63,67,70
1175,0,1,43,51,54
1176,2,1,81,91,87
1177,4,1,46,54,58
1178,3,1,71,77,77
1179,2,1,52,70,62
1180,5,1,97,100,100
1181,2,1,62,68,75
1182,1,0,46,64,66
1183,4,0,50,50,47
1184,3,0,65,69,70
1185,5,1,45,52,49
1186,3,1,65,67,65
1187,4,0,80,76,65
1188,5,1,62,66,68
1189,5,0,48,52,45
1190,0,0,77,88,87
1191,3,0,66,65,69
1192,1,1,76,83,79
1193,5,0,62,64,66
1194,1,1,77,62,62
1195,2,1,69,84,85
1196,3,0,61,55,52
1197,5,1,59,69,65
1198,4,0,55,56,51
1199,1,0,45,53,55
1200,0,0,78,79,76
1201,3,1,67,84,86
1202,1,0,65,81,77
1203,3,0,69,77,69
1204,3,0,57,69,68
1205,1,0,59,41,42
1206,5,1,74,71,78
1207,0,0,82,62,62
1208,4,1,81,80,76
1209,1,0,74,81,76
1210,1,0,58,61,66
1211,5,1,80,79,79
1212,1,0,35,28,27
1213,4,0,42,62,60
1214,3,1,60,51,56
1215,4,1,87,91,81
1216,5,1,84,83,75
1217,3,1,83,86,88
1218,4,0,34,42,39
1219,4,0,66,77,70
1220,5,1,61,56,56
1221,4,1,56,68,74
1222,3,0,87,85,73
1223,5,0,55,65,62
1224,5,0,86,80,75
1225,3,1,52,66,73
1226,2,0,45,56,54
1227,1,0,72,72,71
1228,4,0,57,50,54
1229,5,0,68,72,64
1230,1,1,88,95,94
1231,1,0,76,64,66
1232,3,0,46,43,42
1233,0,0,67,86,83
1234,5,0,92,87,78
1235,0,1,83,82,84
1236,3,0,80,75,77
1237,0,0,63,66,67
1238,5,1,64,60,74
1239,1,0,54,52,51
1240,3,0,84,80,80
1241,4,1,73,68,66
1242,0,0,80,83,83
1243,4,0,56,52,55
1244,1,0,59,51,43
1245,5,0,75,74,69
1246,3,0,85,76,71
1247,3,0,89,76,74
1248,4,1,58,70,68
1249,4,0,65,64,62
